title,glass,garnish,recipe,ingredients,raw_ingredients
Abacaxi Ricaço,Pineapple shell (frozen) glass,Cut a straw sized hole in the top of the pineapple shell & replace it as a lid,"Cut the top off a small pineapple and carefully scoop out the flesh from the base to leave a shell with 12mm (½ inch) thick walls. Place the shell in a freezer to chill. Remove the hard core from the pineapple flesh and discard; roughly chop the remaining flesh, add other ingredients and BLEND with one 12oz scoop of crushed ice. Pour into the pineapple shell and serve with straws. (The flesh of one pineapple blended with the following ingredients will fill at least two shells).","[['1 whole', 'pineapple'], ['9 cl', 'Havana Club 3 Year Old rum'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'White caster sugar']]","[['1 whole', 'pineapple'], ['9 cl', 'white rum'], ['2.25 cl', 'lime juice'], ['1.5 cl', 'white sugar']]"
Abbey,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Lillet Blanc (or other aromatized wine)'], ['2.25 cl', 'Orange juice (freshly squeezed)'], ['2 dash', 'Angostura Aromatic Bitters']]","[['4.5 cl', 'gin'], ['2.25 cl', 'lillet blanc'], ['2.25 cl', 'orange juice'], ['2 dash', 'angostura']]"
A.B.C. Cocktail,Nick & Nora glass,Lemon zest twist & Luxardo Maraschino cherry,"TEAR mint and place in shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['7 fresh', 'Mint leaves'], ['3 cl', 'Tawny port'], ['3 cl', 'Rémy Martin 1738 Cognac'], ['0.75 cl', 'Luxardo Maraschino liqueur'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['7 fresh', 'mint leaves'], ['3 cl', 'tawny port'], ['3 cl', 'cognac'], ['0.75 cl', 'maraschino'], ['0.5 cl', 'sugar syrup']]"
Absinthe Cocktail,Coupe glass,Mint leaf,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'La Fée Parisienne absinthe'], ['7.5 cl', 'Chilled water'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['3 cl', 'absinthe'], ['7.5 cl', 'chilled water'], ['0.75 cl', 'sugar syrup']]"
Absinthe Frappé,Old-fashioned glass,Mint sprig,SHAKE all ingredients with ice and fine strain into glass filled with crushed ice. CHURN (stir) and serve with straws.,"[['4.5 cl', 'La Fée Parisienne absinthe'], ['1.5 cl', 'Anisette liqueur'], ['4.5 cl', 'Chilled water'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['4.5 cl', 'absinthe'], ['1.5 cl', 'anisette liqueur'], ['4.5 cl', 'chilled water'], ['0.75 cl', 'sugar syrup']]"
Absinthe Sour,Old-fashioned glass,Lemon zest twist & Luxardo Maraschino Cherry,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,"[['2.5 cl', 'La Fée Parisienne absinthe'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Pasteurised egg white'], ['2 dash', ""Peychaud's or other Creole-style bitters (optional)""]]","[['2.5 cl', 'absinthe'], ['1 cl', 'sugar syrup'], ['1.5 cl', 'lemon juice'], ['1.5 cl', 'egg white'], ['2 dash', ""peychaud's bitter""]]"
Absinthe Suisesse,Old-fashioned glass,Mint sprig,SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"[['4.5 cl', 'La Fée Parisienne absinthe'], ['1.5 cl', 'Giffard Orgeat Syrup'], ['3 cl', 'Pasteurised egg white'], ['1.5 cl', 'Milk (semi-skimmed/2% fat)'], ['1.5 cl', 'Single cream / half-and-half']]","[['4.5 cl', 'absinthe'], ['1.5 cl', 'giffard orgeat syrup'], ['3 cl', 'egg white'], ['1.5 cl', 'milk'], ['1.5 cl', 'single cream / half-and-half']]"
Absinthe Without Leave,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['2.25 cl', 'Pisang Ambon green banana liqueur'], ['2.25 cl', 'Irish cream liqueur'], ['1.5 cl', 'La Fée Parisienne absinthe']]","[['2.25 cl', 'pisang ambon green banana liqueur'], ['2.25 cl', 'irish cream'], ['1.5 cl', 'absinthe']]"
Absolutely Fabulous,Flute glass,Strawberry,SHAKE first two ingredients with ice and strain into glass. TOP with champagne.,"[['3 cl', 'Ketel One Vodka'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['4.5 cl', 'Brut Champagne']]","[['3 cl', 'vodka'], ['4.5 cl', 'cranberry juice'], ['4.5 cl', 'brut champagne']]"
Acapulco,Collins glass,Pineapple wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['3 cl', 'Patrón Reposado tequila'], ['3 cl', 'Havana Club 3 Year Old rum'], ['3 cl', 'Grapefruit juice (pink)'], ['7.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['3 cl', 'tequila'], ['3 cl', 'white rum'], ['3 cl', 'grapefruit juice'], ['7.5 cl', 'pineapple juice'], ['1.5 cl', 'sugar syrup']]"
Acapulco Daiquiri,Coupe glass,Lime wedge,"DRY SHAKE (without ice) all ingredients to emulsify. Add ice, SHAKE again and fine strain into chilled glass.","[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Lime cordial (sweetened lime juice)'], ['1.5 cl', 'Pasteurised egg white']]","[['4.5 cl', 'white rum'], ['1.5 cl', 'triple sec'], ['2.25 cl', 'lemon juice'], ['2.25 cl', 'lime cordial'], ['1.5 cl', 'egg white']]"
Ace,Coupe glass,Luxardo Maraschino cherry,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Giffard Grenadine syrup'], ['3 cl', 'Single cream / half-and-half'], ['1.5 cl', 'Pasteurised egg white']]","[['5 cl', 'gin'], ['1.5 cl', 'giffard grenadine syrup'], ['3 cl', 'single cream / half-and-half'], ['1.5 cl', 'egg white']]"
Ace Of Clubs Daiquiri,Martini glass,Dust with chocolate powder,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['1.5 cl', 'Dutch Cacao white crème de cacao'], ['6 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['1.5 cl', 'dutch cacao white crème de cacao'], ['6 cl', 'white rum'], ['1.5 cl', 'lime juice'], ['0.5 cl', 'sugar syrup']]"
Achilles Heel,Collins glass,Apple slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Bison grass vodka'], ['0.75 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['0.75 cl', 'Peachtree peach schnapps'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]","[['6 cl', 'vodka'], ['0.75 cl', 'giffard framboise de ronce'], ['0.75 cl', 'peachtree peach schnapps'], ['3 cl', 'apple juice'], ['1.5 cl', 'lemon juice']]"
Adam & Eve,Old-fashioned glass,Lemon zest twist,SHAKE all ingredients with ice and strain into ice filled glass.,"[['6 cl', 'Bourbon whiskey'], ['1.5 cl', ""Galliano L'Autentico liqueur""], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['3 dash', 'Angostura Aromatic Bitters']]","[['6 cl', 'bourbon whiskey'], ['1.5 cl', ""galliano l'autentico liqueur""], ['0.75 cl', 'sugar syrup'], ['3 dash', 'angostura']]"
Adios,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the order shown here.,"[['2.25 cl', 'Coffee liqueur'], ['2.25 cl', 'Patrón Reposado tequila']]","[['2.25 cl', 'coffee liqueur'], ['2.25 cl', 'tequila']]"
Adonis,Coupe glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Oloroso sherry'], ['3 cl', 'Martini Rosso sweet vermouth'], ['2 dash', 'Orange Bitters by Angostura']]","[['6 cl', 'oloroso sherry'], ['3 cl', 'red vermouth'], ['2 dash', 'angostura']]"
Affinity,Coupe glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Vermouth amaro'], ['3 cl', 'Martini Extra Dry vermouth'], ['1 dash', 'Angostura Aromatic Bitters']]","[['3 cl', 'scotch whisky'], ['3 cl', 'vermouth amaro'], ['3 cl', 'dry vermouth'], ['1 dash', 'angostura']]"
After Eight,Shot glass,None,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['1.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['1.5 cl', 'Giffard Peppermint Pastille crème de menthe']]","[['1.5 cl', 'vodka'], ['1.5 cl', 'dutch cacao white crème de cacao'], ['1.5 cl', 'giffard peppermint pastille crème de menthe']]"
After Six Shot,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the order shown here.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'Irish cream liqueur']]","[['1.5 cl', 'coffee liqueur'], ['1.5 cl', 'giffard menthe pastille white crème de menthe'], ['1.5 cl', 'irish cream']]"
Afterburner,Snifter glass,None,"POUR all ingredients into glass, swirl to mix, Flambé and then extinguish flame. Please take care and beware of hot glass rim.","[['3 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'White overproof rum'], ['3 cl', 'Coffee liqueur']]","[['3 cl', 'giffard menthe pastille white crème de menthe'], ['1.5 cl', 'white rum'], ['3 cl', 'coffee liqueur']]"
Aged Honey Daiquiri,Coupe glass,Lime wedge on rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Havana Club 7yo rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Honey syrup (3 honey to 1 water)'], ['1 cl', 'Chilled water (omit if using wet ice)']]","[['6 cl', 'amber rum'], ['1.5 cl', 'lime juice'], ['1.5 cl', 'honey syrup'], ['1 cl', 'chilled water']]"
Aggravation,Old-fashioned glass,Dust with grated nutmeg,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['2.25 cl', 'Coffee liqueur'], ['2.25 cl', 'Single cream / half-and-half'], ['2.25 cl', 'Milk (semi-skimmed/2% fat)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 cl', 'scotch whisky'], ['2.25 cl', 'coffee liqueur'], ['2.25 cl', 'single cream / half-and-half'], ['2.25 cl', 'milk'], ['0.75 cl', 'sugar syrup']]"
Air Mail,Highball (max 10oz/300ml),Tip of a mint sprig or serve naked,SHAKE first 3 ingredients with ice and strain into an ice-filled glass (preferably a column of ice). TOP with champagne.,"[['3 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Honey syrup (3 honey to 1 water)'], ['4.5 cl', 'Brut Champagne']]","[['3 cl', 'white rum'], ['1.5 cl', 'lime juice'], ['1.5 cl', 'honey syrup'], ['4.5 cl', 'brut champagne']]"
A.J.,Coupe glass,Dust with cinnamon powder,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Avallen Calvados'], ['6 cl', 'Grapefruit juice (pink)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 cl', 'calvados'], ['6 cl', 'grapefruit juice'], ['1.5 cl', 'sugar syrup']]"
Alabama Slammer (straight-up),Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Vodka'], ['2.25 cl', 'Southern USA-style liqueur 40% (e.g. Southern Comfort)'], ['3 cl', 'Orange juice (freshly squeezed)'], ['0.75 cl', 'Giffard Grenadine syrup']]","[['4.5 cl', 'vodka'], ['2.25 cl', 'southern usa-style liqueur 40%'], ['3 cl', 'orange juice'], ['0.75 cl', 'giffard grenadine syrup']]"
Alabama Slammer,Old-fashioned glass,Peach slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Southern USA-style liqueur 40% (e.g. Southern Comfort)'], ['1.5 cl', 'Disaronno amaretto'], ['1.5 cl', 'Rutte Sloe Gin'], ['6 cl', 'Orange juice (freshly squeezed)'], ['2.25 cl', 'Lemon juice (freshly squeezed)']]","[['4.5 cl', 'southern usa-style liqueur 40%'], ['1.5 cl', 'amaretto'], ['1.5 cl', 'gin'], ['6 cl', 'orange juice'], ['2.25 cl', 'lemon juice']]"
Alamagoozlum Cocktail,Coupe glass,Pineapple wedge on rim,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['2 cl', 'Rutte Old Simon Genever'], ['1.5 cl', 'Jamaican aged blended rum'], ['1.5 cl', 'Yellow Chartreuse liqueur'], ['0.5 cl', 'Orange Curaçao liqueur'], ['0.5 cl', 'Angostura Aromatic Bitters'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 cl', 'Chilled water'], ['1.5 cl', 'Pasteurised egg white']]","[['2 cl', 'rutte old simon genever'], ['1.5 cl', 'amber rum'], ['1.5 cl', 'yellow chartreuse liqueur'], ['0.5 cl', 'orange curaçao'], ['0.5 cl', 'angostura'], ['1 cl', 'sugar syrup'], ['2 cl', 'chilled water'], ['1.5 cl', 'egg white']]"
